t,v_PEP,vw,o_PEP,c_PEP,h_PEP,l_PEP,n,t_a,PEP_SMA_10,PEP_SMA_50,PEP_Returns
2023-12-11,6912556.0,167.5848,167.44,167.82,168.13,166.46,87182,2023-12-11 05:00:00,167.85500000000002,165.162,0.012916465475615535
2023-12-12,4515820.0,168.338,169.28,168.47,169.28,167.71,76163,2023-12-12 05:00:00,167.81599999999997,165.148,0.0038731974734835806
2023-12-13,6082063.0,170.8299,168.54,172.01,172.05,168.12,87637,2023-12-13 05:00:00,168.301,165.23420000000002,0.021012643200569725
2023-12-14,7119267.0,169.2582,171.65,168.25,171.97,167.94,106674,2023-12-14 05:00:00,168.29699999999997,165.22100000000003,-0.021859194232893397
2023-12-15,17734645.0,167.1812,167.45,167.0,168.51,166.45,92362,2023-12-15 05:00:00,168.128,165.359,-0.007429420505200568
2023-12-18,5439517.0,169.1091,168.06,168.91,170.25,167.41,78405,2023-12-18 05:00:00,168.105,165.5314,0.011437125748502863
2023-12-19,4855853.0,168.0064,167.935,167.95,168.83,167.31,73665,2023-12-19 05:00:00,168.106,165.6632,-0.005683500088804694
2023-12-20,5157779.0,166.1974,166.51,165.69,167.465,165.67,78806,2023-12-20 05:00:00,167.92399999999998,165.68899999999996,-0.013456385829115791
2023-12-21,4374203.0,166.559,166.5,166.97,167.1,165.39,65491,2023-12-21 05:00:00,167.87499999999997,165.77599999999998,0.007725270082684643
2023-12-22,3030355.0,167.6995,167.36,167.68,168.17,166.86,50750,2023-12-22 05:00:00,168.075,165.968,0.00425226088518893
2023-12-26,2779405.0,168.6519,167.65,168.86,169.42,167.25,49424,2023-12-26 05:00:00,168.179,166.14520000000002,0.007037213740457959
2023-12-27,3502620.0,169.2451,168.9,169.4,169.49,168.36,54895,2023-12-27 05:00:00,168.272,166.3116,0.0031979154329029313
2023-12-28,2911277.0,169.2891,169.4,169.39,169.54,168.7,55931,2023-12-28 05:00:00,168.01000000000002,166.49200000000002,-5.9031877213788775e-05
2023-12-29,3291629.0,169.7212,169.34,169.84,170.065,169.17,52977,2023-12-29 05:00:00,168.169,166.6482,0.002656591298187738
2024-01-02,5743112.0,172.3519,169.52,172.91,172.99,169.19,93081,2024-01-02 05:00:00,168.76000000000002,166.89520000000002,0.01807583608101737
2024-01-03,5588224.0,173.1622,175.0,172.95,175.2,172.6966,80153,2024-01-03 05:00:00,169.164,167.15419999999997,0.00023133422011456517
2024-01-04,6283225.0,171.8613,171.61,171.47,173.53,170.58,73139,2024-01-04 05:00:00,169.516,167.382,-0.00855738652789817
2024-01-05,5252478.0,169.2216,171.57,168.94,171.57,167.56,80563,2024-01-05 05:00:00,169.84099999999998,167.517,-0.014754767597830565
2024-01-08,5735563.0,168.9367,168.94,169.11,169.73,167.79,88154,2024-01-08 05:00:00,170.055,167.65219999999997,0.0010062744169527793
2024-01-09,6268763.0,166.8586,167.79,167.17,167.89,165.93,99829,2024-01-09 05:00:00,170.004,167.76739999999998,-0.011471823073739174
2024-01-10,4394876.0,166.9369,166.59,166.92,167.96,166.2,72854,2024-01-10 05:00:00,169.81,167.9134,-0.0014954836394089899
2024-01-11,4800727.0,165.7382,167.14,166.13,167.14,164.82,88169,2024-01-11 05:00:00,169.483,167.99040000000002,-0.004732806134675194
2024-01-12,3546260.0,166.7332,166.34,167.27,167.38,165.57,58730,2024-01-12 05:00:00,169.27100000000002,168.0702,0.006862095948955815
2024-01-16,4576842.0,166.1893,167.27,166.17,167.52,165.19,78261,2024-01-16 05:00:00,168.904,168.09619999999998,-0.006576194177079109
2024-01-17,4392400.0,166.2961,165.99,166.44,166.727,165.435,77897,2024-01-17 05:00:00,168.257,168.0884,0.0016248420292472865
2024-01-18,4709362.0,166.5192,165.47,167.17,167.28,164.99,70112,2024-01-18 05:00:00,167.679,168.09599999999998,0.004385964912280604
2024-01-19,6528578.0,166.1276,167.14,165.78,167.24,165.57,85662,2024-01-19 05:00:00,167.11,168.07760000000002,-0.008314889035113904
2024-01-22,5669828.0,165.443,165.96,165.11,166.705,165.02,82334,2024-01-22 05:00:00,166.727,168.03619999999998,-0.004041500784171759
2024-01-23,4932727.0,166.9596,164.56,167.64,167.93,164.36,77740,2024-01-23 05:00:00,166.57999999999998,168.04120000000003,0.01532311792138552
2024-01-24,4946700.0,166.1202,167.64,165.6,167.74,165.515,73703,2024-01-24 05:00:00,166.423,168.03,-0.012168933428775897
2024-01-25,5373787.0,165.8,165.81,166.56,166.6,164.935,83130,2024-01-25 05:00:00,166.387,168.02280000000002,0.005797101449275477
2024-01-26,4848792.0,167.5475,166.6,167.86,168.03,166.6,69575,2024-01-26 05:00:00,166.56,168.0246,0.007804995196926123
2024-01-29,5713559.0,168.086,167.53,168.15,168.7,167.3926,70396,2024-01-29 05:00:00,166.64799999999997,168.02540000000002,0.0017276301679971517
2024-01-30,4804243.0,168.938,167.67,169.62,169.7,167.32,70998,2024-01-30 05:00:00,166.993,168.0728,0.008742194469223863
2024-01-31,5769214.0,168.8854,169.96,168.53,170.3838,167.88,82031,2024-01-31 05:00:00,167.202,168.0892,-0.0064261289942223465
2024-02-01,4920789.0,170.8971,168.53,171.7,171.8,167.17,77649,2024-02-01 05:00:00,167.655,168.188,0.018809707470480053
2024-02-02,5307883.0,170.9833,171.235,170.97,171.96,170.1,82957,2024-02-02 05:00:00,168.174,168.27700000000002,-0.004251601630751223
2024-02-05,5142706.0,170.846,170.55,170.92,171.58,169.045,80891,2024-02-05 05:00:00,168.755,168.3394,-0.0002924489676552344
2024-02-06,5182879.0,171.2456,171.45,171.42,171.8252,169.94,74438,2024-02-06 05:00:00,169.13299999999998,168.3834,0.002925345190732509
2024-02-07,5769679.0,171.831,172.63,171.47,172.9,171.38,79494,2024-02-07 05:00:00,169.72,168.4254,0.00029168125072920326
2024-02-08,9269699.0,173.4153,171.72,173.85,174.1,171.41,127222,2024-02-08 05:00:00,170.449,168.53600000000003,0.01387997900507365
2024-02-09,12731739.0,168.397,171.2,167.67,171.39,166.97,159661,2024-02-09 05:00:00,170.43,168.5122,-0.0355478861087144
2024-02-12,7867544.0,169.5991,167.86,170.61,171.0694,167.2,104416,2024-02-12 05:00:00,170.676,168.5812,0.017534442655215754
2024-02-13,7302014.0,168.5329,171.22,168.88,171.45,167.24,108001,2024-02-13 05:00:00,170.602,168.593,-0.010140085575288782
2024-02-14,5731904.0,167.2153,168.34,167.52,168.64,166.06,91272,2024-02-14 05:00:00,170.501,168.56960000000004,-0.008053055423969613
2024-02-15,4451374.0,167.6321,167.95,167.86,168.365,166.68,72187,2024-02-15 05:00:00,170.117,168.54399999999998,0.0020296084049666874
2024-02-16,5245994.0,166.5688,167.21,166.32,167.41,165.68,78483,2024-02-16 05:00:00,169.652,168.5116,-0.009174311926605672
2024-02-20,6117866.0,168.2786,167.74,168.65,169.52,167.185,92488,2024-02-20 05:00:00,169.425,168.53440000000003,0.014009139009139027
2024-02-21,4195366.0,168.7706,169.95,168.83,170.18,167.855,70884,2024-02-21 05:00:00,169.166,168.5618,0.0010672991402311816
2024-02-22,7539232.0,167.9452,167.64,168.25,168.8298,166.1,94238,2024-02-22 05:00:00,168.844,168.6132,-0.0034354083989812656
2024-02-23,6409765.0,169.3981,167.94,169.6,170.25,167.8,69995,2024-02-23 05:00:00,168.419,168.64879999999997,0.008023774145616613
2024-02-26,3836980.0,168.3836,169.42,168.26,169.42,167.71,65133,2024-02-26 05:00:00,168.478,168.6446,-0.00790094339622649
2024-02-27,3567644.0,167.9762,167.82,168.16,168.22,167.35,57536,2024-02-27 05:00:00,168.233,168.56759999999997,-0.0005943183168904964
2024-02-28,5275282.0,167.0925,168.12,167.03,168.5,166.45,75988,2024-02-28 05:00:00,168.048,168.54319999999998,-0.006719790675547066
2024-02-29,8489449.0,165.4778,166.21,165.34,166.68,164.91,93478,2024-02-29 05:00:00,167.82999999999998,168.51,-0.010117942884511733
2024-03-01,6109856.0,164.2378,164.86,164.59,165.0,163.25,95735,2024-03-01 05:00:00,167.50300000000001,168.4236,-0.004536107415023638
2024-03-04,4303882.0,165.0059,164.45,165.37,165.65,163.6,78706,2024-03-04 05:00:00,167.408,168.37199999999996,0.004739048544869062
2024-03-05,6631346.0,162.8308,165.22,162.04,165.5,161.81,102774,2024-03-05 05:00:00,166.747,168.299,-0.02013666324000729
2024-03-06,5302463.0,163.1677,162.06,163.0,163.99,162.04,88312,2024-03-06 05:00:00,166.164,168.21959999999999,0.005924463095531962
2024-03-07,5801610.0,163.0884,163.82,163.11,163.9,162.5,76141,2024-03-07 05:00:00,165.65,168.1282,0.0006748466257668895
2024-03-08,6065294.0,163.0998,162.32,163.05,164.2,162.09,93203,2024-03-08 05:00:00,164.995,168.012,-0.0003678499172338201
2024-03-11,5404790.0,164.4114,163.92,164.73,165.42,163.31,84985,2024-03-11 04:00:00,164.642,167.91859999999997,0.010303587856485663
2024-03-12,6158507.0,164.7214,165.14,164.54,165.42,163.96,70219,2024-03-12 04:00:00,164.28,167.8216,-0.0011534025374855261
2024-03-13,4585789.0,165.355,165.1,165.3,166.14,164.74,73010,2024-03-13 04:00:00,164.107,167.7308,0.004618937644341958
2024-03-14,5155326.0,164.8706,166.26,164.78,166.26,164.2,76065,2024-03-14 04:00:00,164.051,167.5682,-0.003145795523291084
2024-03-15,21887267.0,164.6306,165.06,164.66,165.38,163.64,90330,2024-03-15 04:00:00,164.05800000000002,167.40240000000003,-0.000728243718897903
2024-03-18,10483048.0,170.8001,167.05,171.26,172.18,166.95,133753,2024-03-18 04:00:00,164.647,167.3982,0.04008259443702178
2024-03-19,7653926.0,171.7635,171.1,171.8,172.65,171.0,92635,2024-03-19 04:00:00,165.623,167.45539999999997,0.003153100548873189
2024-03-20,5046920.0,171.9451,172.3,171.86,173.1,171.12,81872,2024-03-20 04:00:00,166.50900000000001,167.5104,0.00034924330617003285
2024-03-21,4343007.0,172.5661,171.92,172.45,173.42,171.05,73904,2024-03-21 04:00:00,167.44299999999998,167.616,0.0034330268823459242
2024-03-22,4106531.0,172.1879,173.02,172.02,173.1,171.76,59899,2024-03-22 04:00:00,168.34,167.718,-0.002493476369962222
2024-03-25,3941985.0,172.6121,172.2,172.6,173.09,172.108,65244,2024-03-25 04:00:00,169.127,167.8474,0.003371700965004054
2024-03-26,4593166.0,172.4325,172.17,172.73,172.97,171.815,69957,2024-03-26 04:00:00,169.946,167.9566,0.0007531865585168607
2024-03-27,4911274.0,173.6175,173.998,173.57,174.69,173.05,69929,2024-03-27 04:00:00,170.773,168.1046,0.004863081109245604
2024-03-28,5710539.0,175.1401,174.76,175.01,175.81,174.37,84257,2024-03-28 04:00:00,171.796,168.27599999999998,0.008296364579132298
2024-04-01,4815366.0,173.4208,175.57,172.98,176.23,172.65,72973,2024-04-01 04:00:00,172.628,168.3922,-0.011599337180732583
2024-04-02,5158492.0,171.956,172.94,171.44,173.87,171.36,67803,2024-04-02 04:00:00,172.64600000000002,168.50539999999998,-0.00890276332523987
2024-04-03,5828024.0,169.9962,170.0,169.68,170.92,168.7,84295,2024-04-03 04:00:00,172.434,168.5968,-0.010265982267848806
2024-04-04,5422567.0,170.2537,170.92,169.65,171.78,169.33,76904,2024-04-04 04:00:00,172.213,168.63699999999997,-0.00017680339462522454
2024-04-05,4412390.0,169.185,169.4,169.14,169.97,168.065,78687,2024-04-05 04:00:00,171.882,168.70780000000002,-0.0030061892130859302
2024-04-08,3755725.0,169.5748,169.15,169.58,170.05,168.74,61132,2024-04-08 04:00:00,171.638,168.7682,0.0026013952938395146
2024-04-09,3774304.0,170.1409,170.225,170.61,170.72,168.73,60058,2024-04-09 04:00:00,171.439,168.82319999999999,0.006073829461021418
2024-04-10,4581676.0,168.6914,169.57,168.95,169.63,167.77,70749,2024-04-10 04:00:00,171.06099999999998,168.83919999999998,-0.009729793095363815
2024-04-11,4241563.0,168.5398,169.62,168.36,169.87,167.77,60992,2024-04-11 04:00:00,170.54000000000002,168.81400000000002,-0.0034921574430303304
2024-04-12,5453736.0,168.0727,167.69,168.1,168.51,167.32,76348,2024-04-12 04:00:00,169.849,168.80540000000002,-0.001544309812307021
2024-04-15,4913908.0,167.2019,169.21,166.95,169.35,166.03,85641,2024-04-15 04:00:00,169.246,168.71040000000002,-0.006841165972635399
2024-04-16,4364233.0,167.8662,167.03,167.5,168.51,166.89,76610,2024-04-16 04:00:00,168.852,168.641,0.0032943995208147836
2024-04-17,3898040.0,169.0277,169.09,169.48,169.7,168.21,74248,2024-04-17 04:00:00,168.83200000000002,168.61219999999997,0.011820895522387964
2024-04-18,5383552.0,171.6617,170.1,172.27,172.68,170.1,83103,2024-04-18 04:00:00,169.094,168.62919999999997,0.016462119424121013
2024-04-19,6235289.0,173.2833,172.28,174.13,174.27,171.8,91818,2024-04-19 04:00:00,169.59300000000002,168.68240000000003,0.010797004701921242
2024-04-22,7182279.0,176.1365,174.41,176.46,177.2,174.03,111434,2024-04-22 04:00:00,170.281,168.7346,0.013380807442715303
2024-04-23,9001977.0,172.0634,174.7,171.22,174.88,170.14,125559,2024-04-23 04:00:00,170.342,168.80559999999997,-0.02969511504023581
2024-04-24,9763622.0,175.6083,168.5,177.41,178.09,167.65,144775,2024-04-24 04:00:00,171.18800000000002,168.9416,0.03615231865436286
2024-04-25,7358547.0,177.7208,178.28,176.68,180.63,175.82,111476,2024-04-25 04:00:00,172.01999999999998,169.09759999999997,-0.004114762414745399
2024-04-26,4319353.0,176.3397,174.44,175.58,178.57,174.34,76822,2024-04-26 04:00:00,172.768,169.25879999999998,-0.006225945211682071
2024-04-29,3101392.0,175.7908,175.5,176.14,176.315,175.02,66178,2024-04-29 04:00:00,173.68699999999998,169.42440000000002,0.003189429319967907
2024-04-30,4334969.0,175.6829,176.27,175.91,176.47,174.8404,80747,2024-04-30 04:00:00,174.528,169.61620000000002,-0.001305779493584569
2024-05-01,4252202.0,175.2706,175.46,175.15,176.23,173.66,83771,2024-05-01 04:00:00,175.09499999999997,169.7462,-0.004320391109089772
2024-05-02,3714727.0,175.6569,175.58,175.45,176.32,174.55,69611,2024-05-02 04:00:00,175.41299999999998,169.8786,0.0017128175849270288
2024-05-03,3417007.0,175.9111,175.8,176.15,176.49,175.0,70699,2024-05-03 04:00:00,175.615,170.0366,0.003989740666856756
2024-05-06,3247045.0,175.6916,176.76,175.82,176.76,175.13,65350,2024-05-06 04:00:00,175.551,170.16099999999997,-0.0018734033494182123
2024-05-07,3280556.0,177.5851,177.0,178.02,178.15,176.51,63170,2024-05-07 04:00:00,176.231,170.35620000000003,0.012512797178933166
2024-05-08,3311032.0,177.8302,178.71,177.41,178.88,177.19,63594,2024-05-08 04:00:00,176.231,170.54120000000003,-0.003426581283001995
2024-05-09,2395640.0,177.8789,177.26,178.06,178.43,177.09,51869,2024-05-09 04:00:00,176.369,170.7618,0.0036638295473760962
2024-05-10,3384655.0,179.5413,177.95,179.79,180.16,177.61,63419,2024-05-10 04:00:00,176.79,171.0508,0.00971582612602484
2024-05-13,3916718.0,180.6445,180.51,180.9,181.35,179.85,70084,2024-05-13 04:00:00,177.26600000000002,171.377,0.00617386951443355
2024-05-14,3462215.0,179.6938,181.05,179.87,181.28,178.6,69145,2024-05-14 04:00:00,177.66199999999998,171.66699999999997,-0.005693753454947492
2024-05-15,4686223.0,179.6135,179.24,179.46,180.4,179.0,73780,2024-05-15 04:00:00,178.093,172.0154,-0.002279424028465038
2024-05-16,5847331.0,182.1974,179.63,183.11,183.41,179.46,96530,2024-05-16 04:00:00,178.859,172.4176,0.020338794160258633
2024-05-17,4219986.0,182.4138,182.59,182.19,182.96,181.83,66628,2024-05-17 04:00:00,179.46300000000002,172.79919999999998,-0.00502430233193174
2024-05-20,2837604.0,180.5008,182.09,180.31,182.13,179.9123,60470,2024-05-20 04:00:00,179.912,173.1444,-0.010318897853888731
2024-05-21,3044886.0,180.8841,181.5,181.08,181.58,179.8,56728,2024-05-21 04:00:00,180.21800000000002,173.47140000000002,0.004270423160113168
2024-05-22,3840494.0,181.703,180.45,182.09,182.13,179.98,64387,2024-05-22 04:00:00,180.686,173.8224,0.005577645239672968
2024-05-23,3245791.0,179.9354,181.33,179.27,181.89,179.04,64397,2024-05-23 04:00:00,180.80700000000002,174.1018,-0.01548684716349058
2024-05-24,3241250.0,178.4048,179.37,177.99,179.42,177.87,61004,2024-05-24 04:00:00,180.627,174.36599999999999,-0.007140068053773652
2024-05-28,5717255.0,173.3855,176.23,173.38,176.275,171.9,102049,2024-05-28 04:00:00,179.875,174.5404,-0.025900331479296712
2024-05-29,4831878.0,171.4901,172.43,171.15,173.18,170.72,81461,2024-05-29 04:00:00,179.00300000000001,174.5382,-0.012861921790287223
2024-05-30,3506758.0,170.7941,171.35,170.48,171.71,170.4,70330,2024-05-30 04:00:00,178.10500000000002,174.5118,-0.003914694712240818
2024-05-31,7583453.0,171.7218,169.89,172.9,172.97,169.52,86912,2024-05-31 04:00:00,177.084,174.53259999999997,0.014195213514781813
2024-06-03,4573392.0,171.8386,172.72,171.23,172.9,171.03,80985,2024-06-03 04:00:00,175.988,174.5082,-0.00965876229034135
2024-06-04,4199508.0,173.4472,171.21,173.89,174.39,170.815,72600,2024-06-04 04:00:00,175.346,174.5456,0.015534660982304382
2024-06-05,3676446.0,173.2445,173.84,173.49,173.97,171.96,66062,2024-06-05 04:00:00,174.58700000000002,174.5634,-0.0023003047903845664
2024-06-06,3986445.0,173.3566,174.0,173.2,174.4,172.675,69809,2024-06-06 04:00:00,173.698,174.57280000000003,-0.0016715660845006974
2024-06-07,3231237.0,171.4037,171.5,171.04,172.51,170.75,59670,2024-06-07 04:00:00,172.875,174.52219999999997,-0.012471131639722799
2024-06-10,9091249.0,166.4659,170.11,165.9,170.37,165.62,141589,2024-06-10 04:00:00,171.666,174.34,-0.030051449953227283
2024-06-11,7908128.0,164.9799,164.87,165.07,165.46,163.51,105197,2024-06-11 04:00:00,170.83499999999998,174.1818,-0.005003013863773442
